Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuitePositifScenario,,,,2021-04-25 00:22:18,2021-04-25 00:22:31,"12,618s",PASSED
,,,,,,,
Test Cases/TC01_CreateANewUser,,,,2021-04-25 00:22:20,2021-04-25 00:22:24,"3,858s",PASSED
"response = sendRequest(findTestObject(""CreateANewUser""))",,,,2021-04-25 00:22:21,2021-04-25 00:22:24,"3,029s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2021-04-25 00:22:24,2021-04-25 00:22:24,"0,025s",PASSED
"verifyElementPropertyValue(response, ""email"", ""george.harisson@reqres.in"")",,,,2021-04-25 00:22:24,2021-04-25 00:22:24,"0,092s",PASSED
"verifyElementPropertyValue(response, ""first_name"", ""George"")",,,,2021-04-25 00:22:24,2021-04-25 00:22:24,"0,019s",PASSED
"verifyElementPropertyValue(response, ""last_name"", ""Harisson"")",,,,2021-04-25 00:22:24,2021-04-25 00:22:24,"0,040s",PASSED
"verifyElementPropertyValue(response, ""avatar"", ""https://reqres.in/img/faces/1-image.jpg"")",,,,2021-04-25 00:22:24,2021-04-25 00:22:24,"0,025s",PASSED
,,,,,,,
Test Cases/TC05_DeleteUser,,,,2021-04-25 00:22:24,2021-04-25 00:22:26,"1,750s",PASSED
"response = sendRequest(findTestObject(""DeleteUser""))",,,,2021-04-25 00:22:25,2021-04-25 00:22:26,"1,267s",PASSED
"verifyResponseStatusCode(response, 204)",,,,2021-04-25 00:22:26,2021-04-25 00:22:26,"0,000s",PASSED
,,,,,,,
Test Cases/TC06_GetAllUserPaged,,,,2021-04-25 00:22:26,2021-04-25 00:22:28,"1,724s",PASSED
"response = sendRequest(findTestObject(""GetAllUserPaged""))",,,,2021-04-25 00:22:26,2021-04-25 00:22:27,"1,047s",PASSED
"verifyResponseStatusCode(response, 200)",,,,2021-04-25 00:22:27,2021-04-25 00:22:27,"0,002s",PASSED
"verifyElementPropertyValue(response, ""page"", ""2"")",,,,2021-04-25 00:22:27,2021-04-25 00:22:27,"0,030s",PASSED
"verifyElementPropertyValue(response, ""data[0].id"", ""7"")",,,,2021-04-25 00:22:27,2021-04-25 00:22:27,"0,020s",PASSED
"verifyElementPropertyValue(response, ""data[1].id"", ""8"")",,,,2021-04-25 00:22:27,2021-04-25 00:22:27,"0,027s",PASSED
"verifyElementPropertyValue(response, ""data[2].id"", ""9"")",,,,2021-04-25 00:22:27,2021-04-25 00:22:27,"0,022s",PASSED
"verifyElementPropertyValue(response, ""data[3].id"", ""10"")",,,,2021-04-25 00:22:27,2021-04-25 00:22:27,"0,028s",PASSED
"verifyElementPropertyValue(response, ""data[4].id"", ""11"")",,,,2021-04-25 00:22:27,2021-04-25 00:22:27,"0,040s",PASSED
"verifyElementPropertyValue(response, ""data[5].id"", ""12"")",,,,2021-04-25 00:22:27,2021-04-25 00:22:28,"0,040s",PASSED
,,,,,,,
Test Cases/TC07_UpdateUser,,,,2021-04-25 00:22:28,2021-04-25 00:22:29,"1,910s",PASSED
"response = sendRequest(findTestObject(""UpdateUser""))",,,,2021-04-25 00:22:28,2021-04-25 00:22:29,"1,283s",PASSED
"verifyResponseStatusCode(response, 200)",,,,2021-04-25 00:22:29,2021-04-25 00:22:29,"0,000s",PASSED
"verifyElementPropertyValue(response, ""email"", ""janet.potter@reqres.in"")",,,,2021-04-25 00:22:29,2021-04-25 00:22:29,"0,027s",PASSED
"verifyElementPropertyValue(response, ""first_name"", ""Janet"")",,,,2021-04-25 00:22:29,2021-04-25 00:22:29,"0,023s",PASSED
"verifyElementPropertyValue(response, ""last_name"", ""Poter"")",,,,2021-04-25 00:22:29,2021-04-25 00:22:29,"0,025s",PASSED
"verifyElementPropertyValue(response, ""avatar"", ""https://reqres.in/img/faces/2-image.jpg"")",,,,2021-04-25 00:22:29,2021-04-25 00:22:29,"0,020s",PASSED
,,,,,,,
Test Cases/TC08_ViewDetailSingleUser,,,,2021-04-25 00:22:29,2021-04-25 00:22:31,"1,670s",PASSED
"response = sendRequest(findTestObject(""ViewDetailSingleUser""))",,,,2021-04-25 00:22:30,2021-04-25 00:22:31,"1,118s",PASSED
"verifyResponseStatusCode(response, 200)",,,,2021-04-25 00:22:31,2021-04-25 00:22:31,"0,000s",PASSED
"verifyElementPropertyValue(response, ""data.id"", ""2"")",,,,2021-04-25 00:22:31,2021-04-25 00:22:31,"0,035s",PASSED
"verifyElementPropertyValue(response, ""data.email"", ""janet.weaver@reqres.in"")",,,,2021-04-25 00:22:31,2021-04-25 00:22:31,"0,015s",PASSED
"verifyElementPropertyValue(response, ""data.first_name"", ""Janet"")",,,,2021-04-25 00:22:31,2021-04-25 00:22:31,"0,031s",PASSED
"verifyElementPropertyValue(response, ""data.last_name"", ""Weaver"")",,,,2021-04-25 00:22:31,2021-04-25 00:22:31,"0,014s",PASSED
"verifyElementPropertyValue(response, ""data.avatar"", ""https://reqres.in/img/faces/2-image.jpg"")",,,,2021-04-25 00:22:31,2021-04-25 00:22:31,"0,030s",PASSED
