Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuiteNegatifScenario,,,,2021-04-25 00:27:57,2021-04-25 00:28:06,"9,103s",FAILED
,,,,,,,
Test Cases/TC02_CreateNewUserNegatifScenario1,,,,2021-04-25 00:27:59,2021-04-25 00:28:02,"3,503s",FAILED
"response = sendRequest(findTestObject(""CreateNewUserNegatifScenario1""))",,,,2021-04-25 00:28:00,2021-04-25 00:28:02,"2,609s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2021-04-25 00:28:02,2021-04-25 00:28:02,"0,024s",PASSED
"verifyElementPropertyValue(response, ""email"", ""jhon.lenon@reqres.in"")",,,,2021-04-25 00:28:02,2021-04-25 00:28:02,"0,077s",PASSED
"verifyElementPropertyValue(response, ""first_name"", ""Jhon 12345"")",,,,2021-04-25 00:28:02,2021-04-25 00:28:02,"0,023s",PASSED
"verifyElementPropertyValue(response, ""last_name"", ""Jhon 12345"")",,,,2021-04-25 00:28:02,2021-04-25 00:28:02,"0,066s",FAILED
,,,,,,,
Test Cases/TC03_CreateANewUserNegatifScenario2,,,,2021-04-25 00:28:02,2021-04-25 00:28:04,"1,866s",PASSED
"response = sendRequest(findTestObject(""CreateNewUserNegatifScenario2""))",,,,2021-04-25 00:28:03,2021-04-25 00:28:04,"1,322s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2021-04-25 00:28:04,2021-04-25 00:28:04,"0,000s",PASSED
"verifyElementPropertyValue(response, ""first_name"", ""Paul"")",,,,2021-04-25 00:28:04,2021-04-25 00:28:04,"0,028s",PASSED
"verifyElementPropertyValue(response, ""last_name"", ""Mccartney"")",,,,2021-04-25 00:28:04,2021-04-25 00:28:04,"0,027s",PASSED
"verifyElementPropertyValue(response, ""avatar"", ""https://reqres.in/img/faces/2-image.jpg"")",,,,2021-04-25 00:28:04,2021-04-25 00:28:04,"0,026s",PASSED
,,,,,,,
Test Cases/TC04_CreateANewUserNegatifScenario3,,,,2021-04-25 00:28:04,2021-04-25 00:28:06,"1,926s",PASSED
"response = sendRequest(findTestObject(""CreateNewUserNegatifScenario3""))",,,,2021-04-25 00:28:05,2021-04-25 00:28:06,"1,398s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2021-04-25 00:28:06,2021-04-25 00:28:06,"0,000s",PASSED
"verifyElementPropertyValue(response, ""email"", ""ringostar.com"")",,,,2021-04-25 00:28:06,2021-04-25 00:28:06,"0,026s",PASSED
"verifyElementPropertyValue(response, ""first_name"", ""Ringooooooooooooooooooooooooooooooooooooooooooooooooo"")",,,,2021-04-25 00:28:06,2021-04-25 00:28:06,"0,021s",PASSED
"verifyElementPropertyValue(response, ""last_name"", ""Star{}"")",,,,2021-04-25 00:28:06,2021-04-25 00:28:06,"0,019s",PASSED
"verifyElementPropertyValue(response, ""avatar"", ""avatar ringo"")",,,,2021-04-25 00:28:06,2021-04-25 00:28:06,"0,026s",PASSED
